Rank;Channel_Name;Subscriber_Count;Video_Views;Video_Count;Genre;Channel_started
1;T-Series;237000000;2,16496E+11;18831;Music;2006
2;Cocomelon - Nursery Rhymes;154000000;1,52639E+11;861;Education;2006
3;SET India;152000000;1,40138E+11;105649;Film & Animation;2006
4;Sony SAB;77500000;92952274861;65028;Film & Animation;2007
5;âœ¿ Kids Diana Show;108000000;88452629066;1070;People & Blogs;2015
6;Like Nastya;104000000;88060349741;762;People & Blogs;2016
7;WWE;93500000;74447865775;66901;Sports;2007
8;Vlad and Niki;93900000;73333582362;530;Entertainment;2018
9;Movieclips;58700000;58923017461;40063;Film & Animation;2006
10;Colors TV;60200000;58056997206;104523;Film & Animation;2008
11;Zee Music Company;92800000;54295114324;7768;Music;2014
12;El Reino Infantil;55600000;54151900416;1434;Music;2011
13;Ryan's World;34400000;54008224558;2321;Entertainment;2015
14;netd mÃ¼zik;23600000;53867289619;22108;Music;2014
15;ABS-CBN Entertainment;42600000;49164270097;187424;People & Blogs;2008
16;Toys and Colors;38600000;44642348659;910;Entertainment;2016
17;ChuChu TV Nursery Rhymes & Kids Songs;61900000;42589514748;546;Education;2013
18;Zee TV;65900000;42064672138;98369;Entertainment;2005
19;Super Simple Songs - Kids Songs;37800000;41715976696;667;Education;2006
20;Wave Music;56300000;39258909308;19031;Music;2014
21;Little Baby Bum - Nursery Rhymes & Kids Songs;40800000;38840192263;2287;Education;2011
22;Canal KondZilla;66400000;37297721449;2393;Music;2012
23;Pinkfong Baby Shark - Kids' Songs & Stories;65700000;36688824621;2647;Education;2011
24;WorkpointOfficial;38300000;35265515153;68255;Entertainment;2012
25;ÐœÐ°ÑˆÐ° Ð¸ ÐœÐµÐ´Ð²ÐµÐ´ÑŒ;41600000;35041524012;1316;Film & Animation;2011
26;HAR PAL GEO;38000000;33884922133;84696;Entertainment;2008
27;ARY Digital HD;39800000;33692884745;92357;Entertainment;2016
28;YRF;52200000;33001702137;3528;Film & Animation;2006
29;Tips Official;57000000;31392740249;4182;Music;2007
30;LooLoo Kids - Nursery Rhymes and Children's Songs;52900000;31261734882;621;Music;2014
31;LankyBox;23300000;31155421572;7307;Comedy;2016
32;Shemaroo Filmi Gaane;64000000;30308486987;8535;Music;2010
33;Justin Bieber;71000000;29802309718;249;Music;2007
34;Get Movies;44800000;29583070279;3193;Entertainment;2006
35;Ed Sheeran;53000000;29256187171;264;Music;2006
36;BLACKPINK;84400000;29178260651;475;People & Blogs;2016
38;PewDiePie;111000000;28920114696;4700;Gaming;2010
39;Bad Bunny;45300000;28697537555;128;Music;2014
40;GMANetwork;30100000;28240012927;128766;Entertainment;2006
41;Infobells - Hindi;49200000;28093078858;526;Education;2014
42;Taylor Swift;51000000;28081584959;206;Music;2006
43;Sony Music India;55900000;27598909527;3457;Music;2009
44;T-Series Bhakti Sagar;58100000;27517331414;25114;Music;2011
45;DisneyMusicVEVO;31700000;27023117927;1942;Music;2010
46;Ù‚Ù†Ø§Ø© Ø·ÙŠÙˆØ± Ø§Ù„Ø¬Ù†Ø© | toyoraljanahtv;29500000;26955901326;3191;Entertainment;2008
47;Ch3Thailand;32700000;26827714564;86169;Entertainment;2014
48;HYBE LABELS;69300000;26485581171;1108;Music;2008
49;SMTOWN;31500000;26475897382;4086;Music;2006
50;Sony PAL;35900000;26412224144;22211;Film & Animation;2014
51;à¸Šà¹ˆà¸­à¸‡ one31;36400000;26280826947;106483;Entertainment;2013
52;Tsuriki Show;18300000;26198962430;2299;Entertainment;2019
53;SonyMusicIndiaVEVO;45200000;26094337405;3369;Music;2009
54;JustinBieberVEVO;31700000;26082718186;204;Music;2009
55;Speed Records;42000000;26010508068;10682;Music;2012
56;Shakira;40800000;25929013006;308;People & Blogs;2005
57;EminemMusic;55400000;25713668530;140;Music;2007
58;BabyBus - Kids Songs and Cartoons;31700000;25652048457;1999;Education;2016
59;5-Minute Crafts;78900000;25251693106;6022;Howto & Style;2016
60;La Granja de ZenÃ³n;34000000;25243742160;613;Music;2013
